"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"FF.SOMO31",4082.69596244998,4083.95438941628,3.57933919866046e-05,87.72,0.048113468081893,-2034.34798122499,0.351214082209592,0,0,7
"SOMO31.SPIN",4082.94686516908,4084.20529213537,2.50182664626729e-05,89.486,0.0479073847841646,-2034.47343258454,0.351198380731906,0,0,7
"Silt.WAT.WII",4083.23654348936,4085.79468302424,1.30970213292622e-05,89.526,0.0452754078031218,-2031.61827174468,0.350920846766674,0,0,10
"DEM.Silt.WII",4083.31552830683,4085.87366784172,1.19519389456348e-05,89.989,0.0389351284585502,-2031.65776415342,0.350932916057781,0,0,10
"SOMO31.WII",4082.94694340551,4084.2053703718,2.50170028428734e-05,90.059,0.0479083930107024,-2034.47347170276,0.351198380247699,0,0,7
"DEM.SOMO31",4082.94780607329,4084.20623303958,2.49937121793315e-05,90.071,0.0479583426958043,-2034.47390303664,0.35119826713297,0,0,7
"SOMO31.WAT",4082.94912330118,4084.20755026747,2.49568906539022e-05,90.258,0.048040487062397,-2034.47456165059,0.351198078187383,0,0,7
"FF.Silt.WAT",4083.70242678097,4086.26056631586,1.59844550854674e-05,91.369,0.030189544966991,-2031.85121339049,0.350888188021825,0,0,10
"WII",4084.84956234488,4085.28434495357,0.00030857243942321,93.288,0.0130893611243529,-2038.42478117244,0.351568888838782,0,0,4
"DEM.Silt.SPIN",4084.94385768307,4087.50199721795,7.27095963364041e-06,96.608,0.0260364964189848,-2032.47192884153,0.35102888097651,0,0,10
"Silt.SPIN.WAT",4085.44308815376,4088.00122768864,5.98804471601345e-06,99.231,0.0226013547004501,-2032.72154407688,0.351054649064271,0,0,10
"SPIN.WAT.WII",4086.08950977589,4088.64764931078,4.66358862925948e-05,99.889,0.0388534992987348,-2033.04475488795,0.351263431165623,0,0,10
"DEM.WAT.WII",4086.09160732833,4088.64974686321,4.60420440850101e-05,99.912,0.0387040206321631,-2033.04580366417,0.351263371338836,0,0,10
"FF.WAT.WII",4086.42963754945,4088.98777708433,3.67377105049836e-05,103.101,0.0369471103659291,-2033.21481877473,0.351272560424639,0,0,10
