"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"DEM.WAT",-3572.14289648264,7,7158.28579296532,7159.20382575221,0.0350839786700592,0.657077636382324,-3572.14289648266,76.0459725737537,2.40941509514028e-17
"Silt.SPIN.VRM.WAT",-3565.45067631214,13,7156.90135262429,7160.03928365877,0.0247541201664622,0.669589843911786,-3565.45067631214,76.8814304803182,1.58669790221631e-17
"DEM.Silt.SPIN",-3569.49669315269,10,7158.99338630541,7160.8421258012,0.0255770786272782,0.664808435746737,-3569.4966931527,77.6842726227524,1.06208503946011e-17
"FF.SOMO31",-3573.21256097999,7,7160.42512195999,7161.34315474687,0.04778920713685,0.669544870516718,-3573.21256097999,78.1853015684192,8.2672722229466e-18
"SOMO31.SPIN",-3573.28681578947,7,7160.57363157895,7161.49166436584,0.0476502488105222,0.670982040453395,-3573.28681578948,78.3338111873854,7.6756256273298e-18
"SOMO31.WAT",-3573.28685492882,7,7160.57370985762,7161.49174264451,0.0477858338413998,0.671051229773588,-3573.28685492881,78.3338894660583,7.67532521431514e-18
"SOMO31.WII",-3573.28686772989,7,7160.57373545977,7161.49176824665,0.047651278422162,0.670982596418406,-3573.28686772988,78.3339150682023,7.6752269625534e-18
"DEM.SOMO31",-3573.28689497035,7,7160.57378994069,7161.49182272757,0.0477021590899634,0.671008570183894,-3573.28689497034,78.3339695491222,7.67501788868809e-18
"Silt.SPIN.WAT",-3569.99043832417,10,7159.98087666937,7161.82961616516,0.0221697094103768,0.663214310206091,-3569.99043833468,78.6717629867126,6.48229040483514e-18
"DEM.Silt.SPIN.WII",-3566.76362221312,13,7159.52724442153,7162.66517545601,0.0301108822167309,0.667804870837786,-3566.76362221076,79.5073222775573,4.26863566600687e-18
"Silt.SPIN.WAT.WII",-3566.91849336463,13,7159.83698672925,7162.97491776374,0.0287999377162629,0.667236345715275,-3566.91849336463,79.8170645852842,3.65619542782379e-18
"FF.Silt.SPIN",-3570.59740772202,10,7161.19481544152,7163.04355493732,0.0212020399081779,0.664217506305289,-3570.59740772076,79.8857017588671,3.53284861770797e-18
"FF.Silt.SPIN.WII",-3567.13487581373,13,7160.26975162749,7163.40768266197,0.0323052254198658,0.668498719154232,-3567.13487581374,80.2498294835195,2.94479927547007e-18
"DEM.FF.Silt.SPIN",-3567.18317303304,13,7160.36634604704,7163.50427708152,0.0272912630719671,0.666513788719015,-3567.18317302352,80.3464239030709,2.80595360482807e-18
"FF.Silt.WAT.WII",-3567.54879674682,13,7161.09759349264,7164.23552452713,0.0337901118160364,0.670881856464684,-3567.54879674632,81.0776713486739,1.94666903439172e-18
"DEM.FF.Silt.SOMO31",-3567.74141446662,13,7161.48282893325,7164.62075996773,0.0407496706460884,0.672152684175486,-3567.74141446662,81.4629067892765,1.60560720220324e-18
"FF.Silt.SOMO31.SPIN",-3567.74454292236,13,7161.48908584473,7164.62701687921,0.0407099725335497,0.672133188872477,-3567.74454292236,81.4691637007609,1.60059198017235e-18
"Silt.SOMO31.WAT.WII",-3567.76534738889,13,7161.53069477779,7164.66862581227,0.0406483827930866,0.672115559763484,-3567.76534738889,81.5107726338183,1.56763651696639e-18
"FF.Silt.SOMO31.WAT",-3567.8644211643,13,7161.7288423286,7164.86677336308,0.0340093067527408,0.669970981917217,-3567.8644211643,81.7089201846302,1.4197705960578e-18
"FF.Silt.SOMO31.WII",-3568.05173229549,13,7162.10346459098,7165.24139562547,0.0328638243683704,0.668743297241924,-3568.05173229549,82.0835424470151,1.17725349073538e-18
"SPIN.WAT.WII",-3571.72491153622,10,7163.44982307246,7165.29856256826,0.0378519126891547,0.657739235003176,-3571.72491153623,82.1407093898097,1.14407986650644e-18
"DEM.WAT.WII",-3571.72604070167,10,7163.45208140341,7165.30082089921,0.0377049892574146,0.657695432430806,-3571.7260407017,82.1429677207552,1.14278874010794e-18
"FF.WAT.WII",-3572.0071872462,10,7164.0143744924,7165.8631139882,0.0359836946473566,0.657294697646416,-3572.0071872462,82.7052608097456,8.62711445372025e-19
"FF.SPIN.WAT",-3572.00958445412,10,7164.01916890824,7165.86790840404,0.0359593219108007,0.657286326958297,-3572.00958445412,82.710055225587,8.60645823513639e-19
"DEM.SPIN.WAT",-3572.13004101202,10,7164.26008202406,7166.10882151986,0.0350916146738142,0.657083711489715,-3572.13004101203,82.9509683414035,7.62975947415502e-19
"FF.Silt.SPIN.WAT",-3568.99050657622,13,7163.98101315244,7167.11894418692,0.0208131099768874,0.663864928937842,-3568.99050657622,83.9610910084702,4.60431997394659e-19
"FF",-3579.50425660848,4,7167.00851321696,7167.32851321696,0.042193242534513,0.652450196268508,-3579.50425660848,84.1706600385114,4.14627554622191e-19
"DEM.Silt.SPIN.WAT",-3569.12076096742,13,7164.24152196866,7167.37945300314,0.0256647915957994,0.665170391232236,-3569.12076098433,84.2215998246884,4.04200388223687e-19
"Silt.SOMO31.SPIN",-3573.21517634558,10,7166.43035269111,7168.2790921869,0.0548549125956879,0.675146402807156,-3573.21517634555,85.1212390084529,2.57776047124655e-19
"FF.SOMO31.WII",-3573.28397213399,10,7166.56794426802,7168.41668376382,0.0476136954751935,0.670963848722644,-3573.28397213401,85.258830585366,2.40638398388031e-19
"FF.SOMO31.SPIN",-3573.28397469951,10,7166.56794939902,7168.41668889482,0.0476276826502284,0.670971186004954,-3573.28397469951,85.2588357163704,2.40637781030483e-19
"DEM.SOMO31.WII",-3573.29931520773,10,7166.59863041548,7168.44736991128,0.0475373047601349,0.670931468035989,-3573.29931520774,85.2895167328297,2.36974445724067e-19
"SOMO31.SPIN.WII",-3573.29932054878,10,7166.59864109753,7168.44738059333,0.0475620000516122,0.670944071879048,-3573.29932054877,85.2895274148777,2.36973180041243e-19
"DEM.SOMO31.SPIN",-3573.29964591319,10,7166.59929182635,7168.44803132214,0.0475382615042553,0.67093214308758,-3573.29964591317,85.2901781436931,2.36896089944752e-19
"DEM.Silt.WAT.WII",-3569.66256293304,13,7165.32512586814,7168.46305690262,0.0237258903910808,0.663583739119759,-3569.66256293407,85.3052037241714,2.35123008048387e-19
"SOMO31.WAT.WII",-3573.35153062618,10,7166.70306125237,7168.55180074816,0.0474767810218323,0.670929912167047,-3573.35153062618,85.3939475697125,2.24918225277369e-19
"DEM.FF.Silt.WII",-3569.72805111688,13,7165.45610223376,7168.59403326824,0.0226564134033191,0.663846397120144,-3569.72805111688,85.4361800897914,2.20218587558893e-19
"SOMO31.SPIN.WAT",-3573.38290900311,10,7166.76581800622,7168.61455750201,0.0414281215977815,0.667836213854225,-3573.38290900311,85.4567043235629,2.17970234833509e-19
"Distance",-3582.33753246794,2,7168.67506493587,7168.76955312485,0.0110289719990575,0.656367828557816,-3582.33753246794,85.6116999463948,2.01715987300925e-19
"FF.SOMO31.WAT",-3573.59566919634,10,7167.19133839271,7169.04007788851,0.0360555773835111,0.665199526523383,-3573.59566919636,85.8822247100588,1.76196230991217e-19
"DEM.SOMO31.WAT",-3573.62218199652,10,7167.24436399303,7169.09310348883,0.0387536485751527,0.666802427525113,-3573.62218199651,85.9352503103746,1.71586158538013e-19
"WII",-3580.74626385255,4,7169.4925277051,7169.8125277051,0.0127067623005068,0.654829259361687,-3580.74626385255,86.6546745266505,1.19746069650503e-19
"DEM.FF.Silt.WAT",-3570.52558185636,13,7167.05116371271,7170.18909474719,0.0201226661535894,0.663553541096965,-3570.52558185636,87.0312415687431,9.91952265240641e-20
"DEM.FF",-3577.94387375574,7,7169.88774751147,7170.80578029836,0.0523305825630711,0.657743676948951,-3577.94387375574,87.6479271199078,7.28751073568292e-20
"DEM.FF.SOMO31",-3574.61689607747,10,7169.23379215497,7171.08253165077,0.0247824852864122,0.659711239088127,-3574.61689607748,87.9246784723136,6.34575667031348e-20
"SPIN",-3581.59861866337,4,7171.19723732674,7171.51723732674,0.0128258709243036,0.661308436484998,-3581.59861866337,88.3593841482898,5.10608778223475e-20
"FF.SPIN",-3578.36842990612,7,7170.73685981222,7171.65489259911,0.0414926191106094,0.652875708063802,-3578.36842990611,88.4970394206548,4.76646945405197e-20
"DEM.Silt.SOMO31.WII",-3571.26120862408,13,7168.52241724819,7171.66034828267,0.0176472278429996,0.66210569054088,-3571.26120862409,88.5024951042169,4.75348499735042e-20
"DEM.FF.WAT",-3575.08445432106,10,7170.16890864211,7172.0176481379,0.0363645639572983,0.651430664351775,-3575.08445432105,88.8597949594532,3.97580842611491e-20
"DEM.FF.SPIN.WAT",-3571.89772035656,13,7169.79544071311,7172.93337174759,0.0366944995485329,0.65745524497566,-3571.89772035655,89.7755185691376,2.51523515512538e-20
"DEM",-3582.33295427549,4,7172.66590855087,7172.98590855087,0.0111300403785322,0.65639337902256,-3582.33295427543,89.828055372418,2.45002419148754e-20
"DEM.SPIN.WAT.WII",-3571.92747567676,13,7169.8549513535,7172.99288238798,0.0373276716508723,0.657594113350419,-3571.92747567675,89.8350292095292,2.44149603380905e-20
"DEM.FF.WAT.WII",-3572.11869215658,13,7170.23738437827,7173.37531541275,0.0355678820567685,0.657186563928386,-3572.11869218913,90.2174622342973,2.01656277928744e-20
"FF.WII",-3579.50563606317,7,7173.0112721263,7173.92930491318,0.0418933216145648,0.652413068789641,-3579.50563606315,90.7714517347322,1.5286725087217e-20
