id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC02337,Karratha,-20.768,116.842,2/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57252,Roebourne,483553.9919,7703520.048,123,59
DEC02339,Wheelarra Hill 5,-23.4583,120.1558,5/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60545,Augustus,822421.1712,7402207.955,124,1
DEC02340,Wheelarra Hill 4,-23.4986,120.2911,5/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60546,Augustus,836152.3912,7397431.276,93,1
DEC02341,Balfour Downs 2,-22.6033,120.7833,10/10/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60549,Chichester,889042.6475,7495452.055,97,19
DEC02342,Balfour Downs 4,-22.5164,120.6594,15/10/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60559,Chichester,876525.6842,7505404.101,125,26
DEC02345,Dresser,-21.2181,119.4019,15/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56684,Chichester,749316.4541,7651822.24,77,67
DEC02347,Mount Rica,-21.9522,116.4883,2/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56773,Hamersley,447163.702,7572375.614,126,72
DEC02360,Tom Price 10,-22.6989,117.8172,28/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60532,Hamersley,583934.5168,7489580.296,127,16
DEC02361,Wheelarra Hill 2,-23.28,120.1761,4/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60543,Fortescue,824931.5583,7421921.878,95,6
DEC02362,Coongan River 3,-20.9353,119.8581,25/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M61041,Chichester,797259.1903,7682362.164,128,55
DEC02363,Coongan River 3,-20.9353,119.8581,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61042,Chichester,797259.1903,7682362.164,128,55
DEC02365,Yarrie 3,-20.7236,120.2022,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61063,Chichester,833540.713,7705141.224,129,65
DEC02366,Yarrie 2,-20.7669,120.3767,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61065,Chichester,851631.8036,7699972.972,130,60
DEC02367,Tom Price 9,-22.8092,117.4775,4/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61794,Hamersley,549003.8365,7477522.326,131,22
DEC02368,Tom Price 8,-22.3778,117.4667,4/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61795,Hamersley,548044.9064,7525280.415,132,27
DEC02370,Tom Price 7,-22.3214,117.4794,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61800,Hamersley,549372.2062,7531519.419,133,27
DEC02371,Tom Price 6,-22.72,117.5106,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61801,Hamersley,552434.864,7487385.37,134,22
DEC02373,Tom Price 5,-22.6658,117.6128,1/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61803,Hamersley,562955.0692,7493345.564,135,18
DEC02374,Tom Price 9,-22.7975,117.4944,1/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61806,Hamersley,550742.5745,7478811.812,136,22
DEC02375,Tom Price 4,-22.295,117.4728,1/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61807,Hamersley,548701.6314,7534443.856,137,27
DEC02377,Tom Price 7,-22.3214,117.4794,30/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M61809,Hamersley,549372.2062,7531519.419,133,27
DEC02378,Tom Price 9,-22.8092,117.4775,30/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M61813,Hamersley,549003.8365,7477522.326,131,22
